Driver,Circuit,Compound,TyreLife,LapNumber,Rainfall,FuelWeight,LapTime
VER,Abu Dhabi Grand Prix,MEDIUM,1.0,1.0,0,108.3,91.677
VER,Abu Dhabi Grand Prix,MEDIUM,2.0,2.0,0,106.6,89.117
VER,Abu Dhabi Grand Prix,MEDIUM,3.0,3.0,0,104.9,89.555
VER,Abu Dhabi Grand Prix,MEDIUM,4.0,4.0,0,103.2,89.563
VER,Abu Dhabi Grand Prix,MEDIUM,5.0,5.0,0,101.5,89.695
VER,Abu Dhabi Grand Prix,MEDIUM,6.0,6.0,0,99.8,89.772
VER,Abu Dhabi Grand Prix,MEDIUM,7.0,7.0,0,98.1,89.744
VER,Abu Dhabi Grand Prix,MEDIUM,8.0,8.0,0,96.4,89.601
VER,Abu Dhabi Grand Prix,MEDIUM,9.0,9.0,0,94.7,89.413
VER,Abu Dhabi Grand Prix,MEDIUM,10.0,10.0,0,93.0,89.465
VER,Abu Dhabi Grand Prix,MEDIUM,11.0,11.0,0,91.3,89.538
VER,Abu Dhabi Grand Prix,MEDIUM,12.0,12.0,0,89.6,89.543
VER,Abu Dhabi Grand Prix,MEDIUM,13.0,13.0,0,87.9,89.633
VER,Abu Dhabi Grand Prix,MEDIUM,14.0,14.0,0,86.2,89.526
VER,Abu Dhabi Grand Prix,MEDIUM,15.0,15.0,0,84.5,89.703
VER,Abu Dhabi Grand Prix,MEDIUM,16.0,16.0,0,82.8,89.46
VER,Abu Dhabi Grand Prix,MEDIUM,17.0,17.0,0,81.1,89.578
VER,Abu Dhabi Grand Prix,MEDIUM,18.0,18.0,0,79.4,89.596
VER,Abu Dhabi Grand Prix,MEDIUM,19.0,19.0,0,77.7,89.614
VER,Abu Dhabi Grand Prix,MEDIUM,20.0,20.0,0,76.0,89.557
VER,Abu Dhabi Grand Prix,MEDIUM,21.0,21.0,0,74.30000000000001,89.441
VER,Abu Dhabi Grand Prix,MEDIUM,22.0,22.0,0,72.6,89.243
VER,Abu Dhabi Grand Prix,MEDIUM,23.0,23.0,0,70.9,91.365
VER,Abu Dhabi Grand Prix,HARD,2.0,25.0,0,67.5,88.693
VER,Abu Dhabi Grand Prix,HARD,3.0,26.0,0,65.80000000000001,88.312
VER,Abu Dhabi Grand Prix,HARD,4.0,27.0,0,64.1,88.327
VER,Abu Dhabi Grand Prix,HARD,5.0,28.0,0,62.4,88.371
VER,Abu Dhabi Grand Prix,HARD,6.0,29.0,0,60.7,88.003
VER,Abu Dhabi Grand Prix,HARD,7.0,30.0,0,59.0,88.049
VER,Abu Dhabi Grand Prix,HARD,8.0,31.0,0,57.300000000000004,87.844
VER,Abu Dhabi Grand Prix,HARD,9.0,32.0,0,55.6,87.801
VER,Abu Dhabi Grand Prix,HARD,10.0,33.0,0,53.9,87.909
VER,Abu Dhabi Grand Prix,HARD,11.0,34.0,0,52.2,87.924
VER,Abu Dhabi Grand Prix,HARD,12.0,35.0,0,50.5,87.981
VER,Abu Dhabi Grand Prix,HARD,13.0,36.0,0,48.800000000000004,87.81
VER,Abu Dhabi Grand Prix,HARD,14.0,37.0,0,47.1,87.745
VER,Abu Dhabi Grand Prix,HARD,15.0,38.0,0,45.400000000000006,87.751
VER,Abu Dhabi Grand Prix,HARD,16.0,39.0,0,43.7,87.625
VER,Abu Dhabi Grand Prix,HARD,17.0,40.0,0,42.0,88.142
VER,Abu Dhabi Grand Prix,HARD,18.0,41.0,0,40.3,87.973
VER,Abu Dhabi Grand Prix,HARD,19.0,42.0,0,38.60000000000001,88.22
VER,Abu Dhabi Grand Prix,HARD,20.0,43.0,0,36.900000000000006,87.935
VER,Abu Dhabi Grand Prix,HARD,21.0,44.0,0,35.2,87.893
VER,Abu Dhabi Grand Prix,HARD,22.0,45.0,0,33.5,87.752
VER,Abu Dhabi Grand Prix,HARD,23.0,46.0,0,31.799999999999997,87.961
VER,Abu Dhabi Grand Prix,HARD,24.0,47.0,0,30.10000000000001,87.871
VER,Abu Dhabi Grand Prix,HARD,25.0,48.0,0,28.400000000000006,87.818
VER,Abu Dhabi Grand Prix,HARD,26.0,49.0,0,26.700000000000003,87.75
VER,Abu Dhabi Grand Prix,HARD,27.0,50.0,0,25.0,87.986
VER,Abu Dhabi Grand Prix,HARD,28.0,51.0,0,23.299999999999997,87.983
VER,Abu Dhabi Grand Prix,HARD,29.0,52.0,0,21.60000000000001,88.455
VER,Abu Dhabi Grand Prix,HARD,30.0,53.0,0,19.900000000000006,88.395
VER,Abu Dhabi Grand Prix,HARD,31.0,54.0,0,18.200000000000003,88.175
VER,Abu Dhabi Grand Prix,HARD,32.0,55.0,0,16.5,88.817
VER,Abu Dhabi Grand Prix,HARD,33.0,56.0,0,14.799999999999997,88.621
